word,phonetic,pos,meaning,example,example_zh
a,,art.,一（个）；每一（个）,,
abandon,,v.,丢弃；放弃，抛弃,,
ability,ə'bɪləti,n.,能力；才能,She has the ability to solve difficult problems.,她有解决难题的能力。
able,,adj.,有能力的；出色的,,
abnormal,,adj.,不正常的；变态的,,
aboard,,adv.,在船（车）上；上船,,
abolish,,v.,废除，取消,,
abolition,,n.,废除,,
about,,prep.,关于；在…周围,,
above,,prep.,在…上面；高于,,
abroad,ə'brɔːd,adv.,在国外；到国外,She plans to study abroad next year.,她计划明年出国留学。
abruptly,,adv.,突然地,,
absence,,n.,缺席，不在场；缺乏,,
absent,,adj.,缺席的,,
absolute,,adj.,纯粹的；绝对的,,
absolutely,,adv.,完全地；绝对地,,
absorb,əb'zɔːb,v.,吸收；使专注,Plants absorb water and nutrients from the soil.,植物从土壤中吸收水分和养分。
absorption,,n.,吸收；专注,,
abstract,,adj.,抽象的,,
abundance,,n.,丰富，充裕,,
abundant,,adj.,大量的，丰富的,,
abuse,,v.,虐待；滥用,,
abusive,,adj.,辱骂的；滥用的；虐待的,,
academic,ˌækə'demɪk,adj.,学术的；学业的,His academic performance improved greatly.,他的学业成绩大大提高。
academician,,n.,"院士, 大学生",,
academy,,n.,专科院校；私立中学,,
accelerate,,v.,加速,,
acceleration,,n.,加速；加速度,,
accent,,n.,口音，腔调；重音,,
accept,ək'sept,v.,接受；同意,I am happy to accept your invitation.,我很高兴接受你的邀请。
acceptable,,adj.,可接受的，合意的,,
acceptance,,n.,接受，验收；承认,,
access,,v.,获取 n. 接近，入口,,
accessary,,n.,同谋，从犯,,
accessible,,adj.,易接近的,,
accident,'æksɪdənt,n.,事故；意外,He was late because of a traffic accident.,他因为一起交通事故迟到了。
accidental,,adj.,偶然的；非本质的,,
accommodate,,v.,为…提供住宿,,
accommodation,,n.,住处；工作场所,,
accompany,ə'kʌmpəni,v.,陪伴；伴随,Children must be accompanied by an adult.,儿童必须有成人陪同。
accomplish,,v.,完成,,
accomplishment,,n.,"成就, 完成",,
accord,,v.,给予；使一致,,
accordance,,n.,按照某事物,,
according,,adj.,相等的， 一致的， 依…而定的,,
accordingly,,adv.,照着；因此，所以,,
account,ə'kaʊnt,n.,账户；描述 v. 解释,Please explain the account of the event.,请说明这次事件的经过。
accountable,,adj.,应负责的，有责任的,,
accountancy,,n.,会计工作； 会计学,,
accountant,,n.,会计人员， 会计师,,
accounting,,n.,会计学； 会计,,
accumulate,,v.,积累，增加,,
accumulation,,n.,"积聚,堆积物",,
accuracy,,n.,准确（性）；准确度,,
accurate,'ækjərət,adj.,准确的；精确的,The report gave an accurate picture of the situation.,这份报告准确地描述了情况。
accusation,,n.,谴责； 【律】 指控,,
accuse,,v.,指责；归咎于,,
accustom,,v.,使习惯,,
accustomed,,adj.,惯常的；习惯的,,
ache,,v.,痛 n. 疼痛,,
achieve,ə'tʃiːv,v.,实现；达到,You can achieve your goal through hard work.,通过努力你可以实现目标。
achievement,,n.,成就，成绩；完成,,
acid,,n.,酸 adj. 酸的；酸性的,,
