word,phonetic,pos,meaning,example,example_zh
abalone,,n.,[动]鲍鱼(软体动物),,
abandon,,v.,"放弃,遗弃",,
abandonment,,n.,放弃,,
abate,,v.,减少， 减轻,,
abbey,,n.,修道院； 大教堂,,
abbreviate,,v.,"缩写, 简化",,
aberrant,,adj.,越轨的； 异常的,,
abhor,,vt.,憎恨， 厌恶,,
abiding,,adj.,持久的， 永久的,,
abigail,,n.,(贵妇人的贴身)使女,,
ability,,n.,能力， 才干,,
ablaze,,adj.,着火的， 燃烧的； 闪耀的； 情绪激动的,,
able,,adj.,"能够…的,得以…的",,
abnormal,,adj.,"反常的, 变态的",,
abnormality,,n.,变态 畸形,,
aboard,,,prep&ad. 在(船、飞机、车)上，上船,,
abolish,,v.,"废止, 废除",,
abolition,,n.,废除， 废止； 废奴运动,,
aboriginal,,adj.,"土著的,原来的",,
aborigine,,n.,土著居民,,
abort,,v.,夭折， 中止； 使流产,,
abortive,,adj.,落空的， 失败的,,
abound,,v.,"富于, 充满",,
above,,prep.,"在…上方,多(大,高)于 adv. 在上面",,
aboveground,,adj.,在地面上的 adv. 地面上地,,
abrasion,,n.,磨损,,
abreast,,adv.,"并肩地, 并排地",,
abridge,,vt.,缩短， 删节， 节略， 精简,,
abroad,,adv.,"到国外,在国外",,
abrupt,,adj.,"突然的,陡峭的,生硬的",,
abruptly,,adv.,突然地；粗鲁地,,
abruptness,,n.,"唐突,粗鲁",,
absence,,n.,"不在, 缺席, 缺乏, 没有",,
absent,,adj.,缺席的；缺乏的,,
absenteeism,,n.,"旷课, 旷工",,
absolute,,adj.,"完全的, 绝对的",,
absolutely,,adv.,"完全地, 绝对地",,
absolve,,vt.,赦免； 免除； 宽恕,,
absorb,,v.,"吸收,吸引",,
absorption,,n.,吸收,,
abstract,,n.,"摘要,抽象",,
abstraction,,n.,提取,,
absurd,,adj.,"荒谬的, 可笑的",,
abundance,,n.,"丰富,充裕",,
abundant,,adj.,"丰富的,充裕的",,
abundantly,,adv.,"大量地, 丰富地",,
abuse,,,"n&v. 滥用, 虐待,辱骂",,
abut,,v.,"邻接, 毗邻",,
abysmal,,adj.,深不可测的； 极坏的， 糟透的,,
academic,,adj.,"学院的, 理论的",,
academically,,adv.,学业上,,
academician,,n.,"院士, 大学生",,
academy,,n.,"学院,学会,专科学校",,
accede,,vi.,即位， 就任； 同意,,
accelerate,,v.,"加速,促进",,
acceleration,,n.,"加速度,加速",,
accent,,n.,重音； 口音； 重音符号 vt. 重读,,
accept,,v.,"接受,承认,同意",,
acceptable,,adj.,"可接受的, 合意的",,
acceptance,,n.,"接受,接纳",,
access,,n.,"入口,通道 v. 进入",,
accessibility,,n.,"易接近, 可到达的",,
accessible,,adj.,"可得到的,易接近的",,
accessory,,n.,附件 adj. 辅助的,,
accident,,n.,"意外事件, 事故",,
accidental,,adj.,意外的，偶然(发生)的,,
